maturity,df1_real,df1_real_se,df1,df1_se,dy1,dy1_se
2,.80623281,.092932239,1.2507104,.21699487,1.1253551,.10849743
3,.67250013,.10825098,1.067205,.32866412,1.1059718,.17949922
4,.53404003,.10466851,.78183627,.40954217,1.0249379,.23318349
5,.39832339,.096621506,.51417738,.46527511,.92278588,.27577263
6,.28318882,.098753318,.30081081,.49296945,.81912339,.30888915
7,.19814563,.11052905,.14440568,.49454635,.72273529,.33322027
8,.14423779,.12353598,.034991689,.47604477,.63676733,.34962595
9,.117184,.13262455,-.040571883,.44516721,.56150728,.35927612
10,.11245788,.1359864,-.094566628,.40946922,.49589992,.36351058
11,.12426548,.13505571,-.13707365,.3754231,.43835691,.3636874
12,.14706419,.13371742,-.17552462,.34763518,.38720006,.36105976
13,.1778509,.13490896,-.21509449,.32847899,.34086972,.35670877
14,.21192282,.14114478,-.25897899,.31809372,.29802334,.35151222
15,.24721529,.15077479,-.30872938,.31492001,.25757316,.34613809
16,.28212646,.16117306,-.36471877,.3167631,.21867992,.34106094
17,.3139804,.16799355,-.42659286,.32166916,.1807227,.33659071
18,.34349024,.16837412,-.49350137,.32827514,.14326578,.332901
19,.36753762,.15858813,-.56408542,.33582461,.10603678,.33006245
20,.38910347,.13856915,-.63699317,.34408441,.068885282,.32807383
21,.40551397,.1075602,-.71085846,.35311508,.03175462,.32688716
22,.41832843,.076136433,-.7844646,.36314917,-.005346253,.32643163
23,.42784992,.085364223,-.85653341,.37431827,-.042354394,.3266241
24,.43442413,.15472282,-.92615533,.38676599,-.079179421,.32738069
25,.43835154,.25746959,-.99253029,.4005329,-.11571345,.32862404
26,.44071847,.38395599,-1.0550683,.4156242,-.15184249,.33028829
27,.44178179,.53231227,-1.1133678,.43186384,-.18745454,.33231506
28,.4427723,.70127666,-1.1669402,.44906569,-.22243616,.3346557
29,.44332075,.89137912,-1.2159274,.46711379,-.25669447,.33727241
30,.44501516,1.1017411,-1.2600572,.48574495,-.29013988,.34013358
