maturity,fb,fb_se,csh,csh_se,f1,carryreturn
2,-.16595522,.21324165,1.3319104,.4264833,.14573725,.087332979
3,-.24079731,.29895419,1.3996704,.47613177,.51828456,.43367219
4,-.16121641,.38414392,1.2910556,.54891557,.85983396,.43349457
5,-.026849568,.46983916,1.1032264,.62965971,1.1540188,.40384918
6,.12427292,.5502463,.88018048,.70986545,1.3995715,.36582619
7,.27322963,.62169677,.64699155,.78428662,1.600011,.32708555
8,.41410077,.6829257,.41662699,.8505013,1.7604022,.29076564
9,.54846871,.73461604,.19451784,.90806472,1.8859721,.25799587
10,.68088484,.77860039,-.01816055,.95776576,1.9815187,.22893812
11,.81583738,.81714678,-.22221886,1.0010332,2.0511053,.20324832
12,.95672476,.85249704,-.41914144,1.0395403,2.0981467,.18048297
13,1.1055708,.88665462,-.6104371,1.0749511,2.1254103,.16010089
14,1.2634699,.92132038,-.79716432,1.1087748,2.135174,.14160769
15,1.430046,.95799488,-.97983289,1.142289,2.1292231,.12443335
16,1.6046646,.99788004,-1.1582916,1.1765182,2.1089509,.10808775
17,1.7855314,1.0419534,-1.3319081,1.2122579,2.0754769,.092135571
18,1.9701786,1.0907358,-1.4995458,1.2500429,2.0297048,.076183386
19,2.1550283,1.144323,-1.6596353,1.2902316,1.9724001,.059929889
20,2.3351738,1.2019614,-1.8103824,1.3329905,1.9040083,.042865731
