year,month,qe1,qe1_treas,qe1_agency,qe1_mbs,qe1_10ye,qe1_treas_10ye,qe1_agency_10ye,qe1_mbs_10ye,qe1_surprise,qe1_treas_surprise,qe1_agency_surprise,qe1_mbs_surprise
2008,11,0,0,0,0,0,0,0,0,0,0,0,0
2008,12,16.824604,0,16.824604,0,5.2589431,0,5.2589431,0,0,0,0,0
2009,1,91.042053,0,10.760632,80.281425,12.440551,0,3.532582,8.9079685,0,0,0,0
2009,2,106.67489,0,12.290777,94.384109,26.394989,0,4.2300305,22.164959,0,0,0,0
2009,3,140.07939,0,14.929255,125.15014,30.05822,0,5.0548291,25.003391,0,0,0,0
2009,4,213.62169,79.364975,19.731962,114.52476,70.084229,40.676136,8.1164112,21.291683,183.14952,79.364975,14.972349,88.812202
2009,5,188.74899,67.930084,12.395106,108.42381,73.888138,42.541542,4.7784905,26.568104,161.41632,67.930084,9.4052486,84.080994
2009,6,173.5741,55.922302,17.966534,99.685257,67.283432,28.649632,6.4422297,32.19157,146.85945,55.922302,13.632772,77.304375
2009,7,146.80157,43.275818,10.200753,93.324997,62.137333,29.513487,3.6121252,29.011723,123.38811,43.275818,7.7401896,72.372101
2009,8,176.34224,65.257019,12.366285,98.718933,72.697861,36.643494,4.7426319,31.311737,151.1954,65.257019,9.3833704,76.555016
2009,9,145.13571,28.634537,15.633353,100.86783,52.564865,16.100796,6.0336361,30.430435,118.71836,28.634537,11.86238,78.221443
2009,10,99.04277,7.0471182,11.115922,80.87973,35.014931,5.645319,3.9526234,25.41699,78.202721,7.0471177,8.434617,62.720989
2009,11,91.832481,13.778309,14.322026,63.732143,32.63147,9.1487141,4.8677645,18.614992,74.06897,13.778309,10.867364,49.423298
2009,12,74.689606,2.6199298,5.0728865,66.996788,23.823429,1.4641032,1.4789966,20.880329,58.424149,2.6199298,3.8492393,51.954979
2010,1,64.333763,5.3414822,4.1841307,54.808147,23.782026,3.3524768,1.6516113,18.777939,51.019222,5.3414822,3.1748631,42.502876
2010,2,59.301533,10.210377,4.6362267,44.454929,23.98304,7.0492439,1.6936268,15.240169,48.2024,10.210377,3.5179088,34.474113
2010,3,51.571495,6.6875072,4.1641412,40.719845,18.117914,3.2121389,.92039084,13.985384,41.424812,6.6875062,3.1596959,31.577612
